,Moscow,Tokyo,London,Paris,New York,Los Angeles,Chicago,Houston
2024-11-14,0.2,17.0,9.5,8.3,5.3,15.7,9.8,20.9
2024-11-13,1.1,17.3,9.0,7.9,4.0,17.8,7.2,23.3
2024-11-12,1.1,17.0,8.3,9.3,9.7,17.4,7.9,22.3
2024-11-11,0.3,17.0,10.1,9.5,14.5,13.9,9.7,25.2
2024-11-10,3.8,14.0,10.2,11.5,9.4,14.8,11.7,22.5
2024-11-09,5.4,14.4,9.1,12.4,8.7,16.7,11.1,23.5
2024-11-08,3.7,13.0,11.1,12.2,15.1,18.6,12.3,25.1
2024-11-07,3.0,14.0,12.5,12.6,18.0,16.8,10.6,25.0
2024-11-06,0.3,14.3,12.9,13.7,16.7,17.5,8.9,21.5
2024-11-05,-1.6,18.2,12.3,13.1,16.1,18.1,16.8,21.2
2024-11-04,-0.3,19.1,11.4,11.8,9.8,18.3,16.5,26.1
2024-11-03,0.1,18.5,11.3,11.5,7.5,17.1,13.1,25.4
2024-11-02,2.8,19.0,9.7,11.2,12.0,17.0,11.8,24.7
2024-11-01,3.9,19.9,12.0,13.1,17.3,16.5,10.3,24.9
2024-10-31,4.4,18.1,13.0,13.6,17.9,16.5,15.3,26.2
2024-10-30,5.0,17.1,12.6,14.2,16.4,16.2,17.9,25.8
2024-10-29,6.2,15.5,14.2,14.4,12.7,16.0,19.2,25.5
2024-10-28,8.3,19.9,13.9,15.4,12.4,16.7,12.1,24.0
2024-10-27,4.6,19.7,13.0,10.7,10.7,22.1,12.1,24.7
2024-10-26,5.1,19.7,10.1,10.9,14.8,22.9,12.8,25.3
2024-10-25,6.1,19.6,12.2,13.0,11.3,20.3,13.4,24.5
2024-10-24,7.4,22.8,13.5,14.3,14.2,19.5,11.6,22.3
2024-10-23,9.7,23.5,12.9,13.4,16.6,21.4,14.2,25.4
2024-10-22,9.4,20.9,12.6,14.5,20.3,22.9,16.7,22.9
2024-10-21,8.6,17.2,13.0,14.9,19.7,21.1,18.3,23.6
2024-10-20,6.6,17.0,14.1,14.8,17.7,22.6,16.7,23.2
2024-10-19,5.3,24.7,13.4,13.5,15.6,20.6,14.4,23.1
2024-10-18,4.5,22.0,13.4,16.3,13.5,19.5,13.8,20.9
2024-10-17,4.4,23.3,15.2,16.8,10.3,17.3,11.9,18.2
2024-10-16,6.5,24.2,16.9,19.6,10.4,18.6,9.8,19.8
